epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0151,1.90341,3.96772,1.6576,0.00256,0.49188,0.00949,0.0045,1.64782,3.87011,1.39755,6.668e-05,6.668e-05,6.668e-05
2,66.0462,1.73972,3.60573,1.49646,0.0027,0.54708,0.09336,0.06,1.79329,3.87418,1.46627,0.000147059,0.000147059,0.000147059
3,94.6672,1.63958,2.7081,1.35247,0.00334,0.7013,0.09594,0.02678,1.77185,3.84538,1.49395,0.000224138,0.000224138,0.000224138
4,123.201,1.61337,2.14915,1.32495,0.00365,0.76461,0.15304,0.06582,1.67011,3.75953,1.40682,0.000297916,0.000297916,0.000297916
5,153.544,1.51308,1.99371,1.29312,0.00384,0.76461,0.09012,0.04954,1.70163,3.75129,1.43932,0.000368394,0.000368394,0.000368394
6,184.96,1.45263,1.7451,1.24535,0.00453,0.82792,0.18825,0.08471,1.72209,3.74391,1.5204,0.00043557,0.00043557,0.00043557
7,215.734,1.41119,1.62954,1.30194,0.00444,0.66558,0.06035,0.03287,1.82144,3.90854,1.6213,0.000499447,0.000499447,0.000499447
8,245.919,1.43892,1.679,1.25009,0.00439,0.64773,0.06632,0.02513,1.80658,3.96935,1.63859,0.000560022,0.000560022,0.000560022
9,275.74,1.37641,1.58506,1.29001,0.00397,0.56656,0.11729,0.07234,1.89556,3.9029,1.71197,0.000617297,0.000617297,0.000617297
10,305.08,1.36426,1.5032,1.23333,0.00393,0.56656,0.1063,0.06605,1.87688,3.91048,1.63274,0.000671271,0.000671271,0.000671271
11,335.557,1.37405,1.40889,1.23235,0.00389,0.59416,0.08865,0.05905,1.96684,3.90108,1.63498,0.000721944,0.000721944,0.000721944
12,365.474,1.26892,1.44767,1.19518,0.00388,0.5487,0.11883,0.05758,1.95168,3.91979,1.61004,0.000769317,0.000769317,0.000769317
13,396.372,1.32602,1.47669,1.25257,0.0039,0.59416,0.1208,0.06797,1.95692,3.89798,1.61328,0.000813389,0.000813389,0.000813389
14,425.641,1.37798,1.44685,1.22768,0.00356,0.6039,0.18759,0.10738,1.93496,3.80865,1.71043,0.000854161,0.000854161,0.000854161
15,457.453,1.26975,1.26152,1.19421,0.00424,0.67532,0.29842,0.17696,1.9919,3.70649,1.75142,0.000891632,0.000891632,0.000891632
16,488.866,1.26269,1.3058,1.22617,0.00398,0.70292,0.33318,0.19265,1.97752,3.60871,1.72295,0.000925802,0.000925802,0.000925802
17,516.533,1.23672,1.31412,1.17183,1,0.05022,0.39835,0.2203,1.95733,3.35191,1.76008,0.000956671,0.000956671,0.000956671
18,544.123,1.28669,1.18123,1.21125,1,0.1886,0.44242,0.26313,1.90646,3.23613,1.76082,0.00098424,0.00098424,0.00098424
19,573.09,1.25796,1.24559,1.15983,1,0.08949,0.42796,0.24239,1.89427,3.29047,1.71481,0.00100851,0.00100851,0.00100851
20,601.344,1.24662,1.20726,1.14207,1,0.11952,0.34715,0.18429,1.85898,3.31184,1.65032,0.00102948,0.00102948,0.00102948
21,629.222,1.21206,1.20519,1.15681,1,0.1202,0.31407,0.17584,1.91009,3.34818,1.70042,0.00100687,0.00100687,0.00100687
22,657.319,1.21964,1.2015,1.18776,1,0.11759,0.36554,0.21457,1.94801,3.39771,1.73873,0.000973861,0.000973861,0.000973861
23,688.264,1.23035,1.19473,1.14358,1,0.27245,0.36732,0.20418,1.92428,3.28591,1.74529,0.000940855,0.000940855,0.000940855
24,719.817,1.22108,1.12581,1.14156,0.7947,0.27922,0.38233,0.19084,1.93646,3.11127,1.71924,0.000907848,0.000907848,0.000907848
25,748.704,1.17354,1.09388,1.13334,0.74273,0.32844,0.39407,0.19816,1.91547,2.98676,1.67022,0.000874842,0.000874842,0.000874842
26,777.733,1.20785,1.11944,1.14816,0.80556,0.33279,0.42286,0.23371,1.84379,2.92161,1.63522,0.000841835,0.000841835,0.000841835
27,807.527,1.14542,1.11949,1.1377,0.95403,0.31357,0.41993,0.23438,1.9223,2.88114,1.68622,0.000808828,0.000808828,0.000808828
28,836.945,1.21695,1.1215,1.19375,0.80277,0.3367,0.41413,0.2197,1.94532,2.83178,1.6924,0.000775822,0.000775822,0.000775822
29,866.581,1.176,1.04169,1.14492,0.77739,0.37936,0.42547,0.2513,1.80822,2.80369,1.63891,0.000742815,0.000742815,0.000742815
30,895.975,1.08662,1.02305,1.10216,0.77214,0.40584,0.49124,0.27241,1.74413,2.83578,1.63707,0.000709809,0.000709809,0.000709809
